rank,criterion_id,name,status,decision,granularity,freshness,coverage_band,coverage_measured,found,fresh,missing,stable_91_estimate,primary_publisher,primary_dataset,version,authority_grade,licence_grade,comparability_grade,mapping_grade,scoring_direction,scoring_grade,blocker_codes,recommendation
1,C53,Water quality and sanitation,PROBE_APPROVED,PROCEED_DETERMINISTIC_PROBE,NATIONAL_WITH_LOCAL_CAVEAT,SLOW_STRUCTURAL,HIGH,true,86,86,5,86/91 measured (94.5%) for both basic components with a 2022-2024 observation,WHO/UNICEF JMP via World Bank WDI,World Development Indicators,2025 JMP release; observations through 2024,A4,L4,C4,M4,HIGHER_BETTER,S4,CMP_BASIC_NOT_SAFELY_MANAGED;GRA_LOCAL_VARIATION,Proceed to Phase 5E with the narrow basic-service definition and explicit missing-country outcomes; keep safely managed services as optional metadata.
2,C71,Work-life balance,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL,ANNUAL,HIGH,false,,,,At least 82/91 appears plausible; exact indicator download not joined,International Labour Organization,ILOSTAT working-time indicators,November 2025 modelled estimates,A4,L4,C4,M3,LOWER_BETTER,S3,DEF_LABEL_TOO_BROAD;COV_EXACT_JOIN_REQUIRED,Run an experimental Phase 5E probe only after renaming to Working-time burden.
3,C76,Social protection and welfare support,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL_WITH_PROFILE_CAVEAT,SLOW_STRUCTURAL,FULL,false,,,,At least 90% appears highly plausible; exact stable-91 join not performed,International Labour Organization,World Social Protection Database / WSPR 2024-26 annex,WSPR 2024-26; data through 2023,A4,L4,C3,M3,HIGHER_BETTER,S3,PRF_ELIGIBILITY_NOT_MEASURED;CMP_MODELLED_VALUES,Run a conditional Phase 5E probe as a national welfare-system reach proxy.
4,C54,Food safety and public-health protection,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL,ANNUAL,FULL,false,,,,At least 82/91 appears highly plausible; exact 2025 download not joined,World Health Organization,State Party Self-Assessment Annual Reporting Tool (SPAR),2025 data; dashboard updated 15 May 2026,A4,L4,C3,M3,HIGHER_BETTER,S3,CMP_SELF_REPORTED;DEF_CAPACITY_NOT_OUTCOME;COV_EXACT_JOIN_REQUIRED,Run an experimental Phase 5E probe; label it Food-safety system capacity.
5,C67,Long-term climate-change exposure,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL_DERIVED_FROM_GRID,PERIODIC_MODEL_RELEASE,FULL,false,,,,91/91 spatial coverage appears plausible; country aggregation not measured,World Bank Climate Change Knowledge Portal,Projected Climate Data CMIP6,CMIP6; 1950-2100,A4,L4,C3,M3,CONTEXT_DEPENDENT,S2,SCO_SCENARIO_CHOICE_REQUIRED;GRA_SPATIAL_AGGREGATION,"Run an experimental methodology probe, not a production score probe."
6,C62,Digital-government readiness,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL,TRIENNIAL,FULL,false,,,,About 90/91 appears plausible; Nicaragua is the known publisher-scope exclusion,World Bank,GovTech Dataset / GTMI 2025,2025 update,A4,L4,C3,M4,NONE_WITHOUT_REDESIGN,S1,SCO_PUBLISHER_DISCLAIMS_RANKING;COV_EXACT_JOIN_REQUIRED,Experimental only; inspect components in Phase 5E and reject a direct GTMI rank.
7,C68,Natural-disaster risk,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL,ANNUAL,FULL,false,,,,At least 90% appears plausible; exact release join not measured,European Commission JRC and INFORM partners,INFORM Risk,Current annual INFORM Risk release,A4,L3,C3,M3,LOWER_BETTER,S2,LIC_EXACT_ASSET_UNCLEAR;RED_SHARED_COMPONENTS;GRA_LOCAL_VARIATION,"Conditional Phase 5E probe focused on natural-hazard exposure, subject to exact licence capture."
8,C06,International-student accessibility,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL_WITH_PROFILE_CAVEAT,ANNUAL_WITH_LAG,HIGH,false,,,,At least 82/91 appears plausible; exact series join not measured,UNESCO Institute for Statistics,UIS global education database,September 2025 release; February 2026 background update,A4,L3,C3,M3,HIGHER_BETTER_WITH_CAVEAT,S2,DEF_OUTCOME_NOT_ACCESS;LIC_EXACT_ASSET_UNCLEAR;COV_EXACT_JOIN_REQUIRED,Experimental only after renaming to International-student presence; otherwise defer.
9,C75,Religious freedom and freedom of expression,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL,ANNUAL,FULL,false,,,,At least 90% appears plausible; exact variables not joined,V-Dem Institute,V-Dem Dataset v16,"Version 16, March 2026",A4,L2,C3,M3,HIGHER_BETTER,S2,LIC_COMMERCIAL_REUSE_UNCLEAR;SCO_VARIABLE_SELECTION_REQUIRED;CMP_EXPERT_CODED,Conditional experimental probe only after exact licence and variable selection are resolved.
10,C70,Climate resilience and adaptation readiness,DEFERRED_REDUNDANT,DEFER,NATIONAL,ANNUAL_WITH_REVISIONS,FULL,false,,,,At least 90% appears plausible,Notre Dame Global Adaptation Initiative,ND-GAIN Country Index,Site updated 26 June 2026; data through 2024,A4,L4,C3,M3,HIGHER_BETTER,S3,RED_SHARED_COMPONENTS;DEF_COMPOSITE_TOO_BROAD,Defer until the active catalog is consolidated in Phase 5E; revive only if it replaces rather than duplicates multiple criteria.
