"rank","criterion_id","name","status","recommendation_track","natural_granularity","observation_type","coverage_measured","found","fresh","coverage_summary","primary_source","series_or_table","authority","licence","comparability","mapping","scoring","blocker_codes","caveat_codes","recommendation"
"1","C11","Overall job-market opportunity","PROBE_APPROVED","DETERMINISTIC","NATIONAL","National, modelled annual estimates","true","88","88","88/91 measured; 88 fresh","International Labour Organization (ILOSTAT) — ILOSTAT bulk download","UNE_2EAP_SEX_AGE_RT_A; EMP_2WAP_SEX_AGE_RT_A; EAP_2WAP_SEX_AGE_RT_A","A4","L4","C4","M3","HIGHER_BETTER/S3","COV_NOT_FULL_91","RED_SHARED_COMPONENTS;CMP_MODEL_ASSUMPTIONS_OPAQUE","Proceed to a deterministic Phase 5E probe. The measured 88/91 intersection clears the 82-country threshold but requires an explicit missing-country policy."
"2","C32","Skilled-work visa accessibility","DEFERRED_PROFILE_LAYER","NO_FURTHER_PHASE5E_WORK","PROFILE_ONLY","Administrative/legal policy; profile- and origin-dependent","false","","","LOW estimated","OECD — Indicators of Talent Attractiveness 2023","Highly educated workers; migration-policy dimension","A4","L3","C3","M3","PROFILE_DERIVED/S1","COV_BELOW_90_PERCENT;GRA_ORIGIN_SPECIFIC;GRA_PROFESSION_SPECIFIC;PRF_PROFILE_ONLY;OPS_EXCESSIVE_MANUAL_MAINTENANCE","CMP_LEGAL_NOT_LIVED_OUTCOME;FRS_UPDATE_CADENCE_UNKNOWN","Defer to a future profile/legal-mobility layer. Reject it as an independent destination criterion."
"3","C33","Permanent-residency accessibility","DEFERRED_PROFILE_LAYER","NO_FURTHER_PHASE5E_WORK","PROFILE_ONLY","Administrative/legal policy; route- and profile-dependent","false","","","LOW estimated","UN DESA / IOM — SDG indicator 10.7.2","Country migration-policy data, 2021 update","A4","L1","C2","M3","PROFILE_DERIVED/S1","SRC_NO_AUTHORITATIVE_SOURCE;LIC_REDISTRIBUTION_RESTRICTED;GRA_ORIGIN_SPECIFIC;PRF_PROFILE_ONLY;OPS_EXCESSIVE_MANUAL_MAINTENANCE","CMP_LEGAL_NOT_LIVED_OUTCOME;FRS_POLICY_SNAPSHOT_OUTDATED","Defer to a route-aware profile layer; reject a single national accessibility score."
"4","C17","Average earning potential","DEFERRED","NO_FURTHER_PHASE5E_WORK","NATIONAL_WITH_CITY_CAVEAT","National survey/administrative estimates, harmonised by ILOSTAT","true","76","60","76/91 measured; 60 fresh","International Labour Organization (ILOSTAT) — ILOSTAT bulk download","EAR_EMTA_SEX_CUR_NB_A; CUR_TYPE_PPP; SEX_T","A4","L4","C3","M3","HIGHER_BETTER/S3","COV_BELOW_90_PERCENT;GRA_CITY_LEVEL_REQUIRED;GRA_PROFESSION_SPECIFIC","CMP_POPULATION_DIFFERS;FRS_MIXED_REFERENCE_PERIODS","Defer. Measured recent PPP earnings coverage is 60/91 for 2023+ and 76/91 for 2021+, below the Phase 5A threshold."
"5","C21","Personal income-tax burden","DEFERRED_PROFILE_LAYER","NO_FURTHER_PHASE5E_WORK","PROFILE_ONLY","Administrative tax model; household-scenario dependent","false","","","LOW estimated","OECD — Taxing Wages 2026 / OECD Data Explorer","OECD.CTP.TPS,DSD_TAX_WAGES_COMP@DF_TW_COMP","A4","L4","C4","M3","PROFILE_DERIVED/S2","COV_BELOW_90_PERCENT;GRA_HOUSEHOLD_SCENARIO_REQUIRED;PRF_PROFILE_ONLY","CMP_DEFINITION_DIFFERS;FRS_MIXED_REFERENCE_PERIODS","Defer to a profile-based affordability calculator; do not use the OECD-only series as a 91-country ranking criterion."
"6","C25","Housing affordability","DEFERRED_CITY_LAYER","NO_FURTHER_PHASE5E_WORK","CITY_OR_REGIONAL","City/regional market data plus household income scenario","false","","","LOW estimated","OECD — Affordable Housing Database","HC1.2 Housing costs over income","A4","L4","C3","M3","LOWER_BETTER/S3","COV_BELOW_90_PERCENT;COV_REGIONALLY_BIASED;GRA_CITY_LEVEL_REQUIRED;GRA_HOUSEHOLD_SCENARIO_REQUIRED","CMP_DEFINITION_DIFFERS;FRS_MIXED_REFERENCE_PERIODS","Defer to the city and profile layers. National OECD ratios are useful validation data, not the independent criterion."
"7","C50","Healthcare system capacity and quality","DEFERRED","NO_FURTHER_PHASE5E_WORK","NATIONAL","National composite using reported and modelled tracer indicators","true","91","0","91/91 measured; 0 fresh","World Bank (distribution) / WHO (upstream) — Health Nutrition and Population Statistics","SH.UHC.SRVS.CV.XD","A4","L4","C4","M3","HIGHER_BETTER/S4","FRS_STALE","SEM_QUESTION_TOO_BROAD;CMP_IMPUTED_VALUES_REQUIRED;LIC_NONCOMMERCIAL_ONLY","Defer now. The reusable World Bank representation is complete but remains at 2021; the fresh 2023 WHO release has unresolved commercial reuse for direct ingestion."
"8","C40","English usability","DEFERRED_CITY_LAYER","NO_FURTHER_PHASE5E_WORK","CITY_OR_REGIONAL","Self-selected online assessment; city/regional cuts","false","","","MEDIUM estimated","EF Education First — EF English Proficiency Index 2025","Country, region and city scores","A2","L1","C2","M2","HIGHER_BETTER/S2","LIC_NO_EVIDENCE;CMP_SURVEY_NOT_HARMONISED;GRA_CITY_LEVEL_REQUIRED;SCO_SAMPLE_RELATIVE_DISTORTION","COV_MISSING_KEY_DESTINATIONS;SEM_QUESTION_TOO_BROAD","Defer to a city/preference layer. Do not use EF EPI as a production country criterion."
"9","C01","Overall higher-education opportunity","EXPERIMENTAL_CANDIDATE","CONDITIONAL","NATIONAL_WITH_CITY_CAVEAT","National administrative education statistics","true","88","77","88/91 measured; 77 fresh","World Bank (distribution) / UNESCO UIS (upstream) — World Development Indicators","SE.TER.ENRR","A4","L4","C4","M3","HIGHER_BETTER/S2","COV_BELOW_90_PERCENT","SEM_QUESTION_TOO_BROAD;FRS_MIXED_REFERENCE_PERIODS","Experimental/recovery probe only. Overall coverage is 88/91, but only 77/91 have 2023+ data and 81/91 have 2021+ data."
"10","C30","Existing immigrant share","PROBE_APPROVED","DETERMINISTIC","NATIONAL","National stock estimate from censuses, registers, surveys and imputation","true","91","91","91/91 measured; 91 fresh","World Bank (distribution) / UN Population Division (upstream) — World Development Indicators","SM.POP.TOTL.ZS","A4","L4","C4","M3","HIGHER_BETTER/S3","","CMP_IMPUTED_VALUES_REQUIRED;CMP_DEFINITION_DIFFERS;SEM_CAUSALITY_OVERCLAIM","Proceed to deterministic Phase 5E probe; measured current coverage is 91/91."
"11","C12","Software and technology jobs","DEFERRED_CITY_LAYER","NO_FURTHER_PHASE5E_WORK","CITY_OR_REGIONAL","National labour-force survey occupation counts","true","66","66","66/91 measured; 66 fresh","International Labour Organization (ILOSTAT) — ILOSTAT bulk download","EMP_TEMP_SEX_OC2_NB_A; ISCO-08 level 2","A4","L4","C3","M3","HIGHER_BETTER/S2","COV_BELOW_90_PERCENT;GRA_CITY_LEVEL_REQUIRED;GRA_PROFESSION_SPECIFIC","CMP_DEFINITION_DIFFERS;FRS_MIXED_REFERENCE_PERIODS","Defer to a city/occupation layer. Recent two-digit occupation data cover only 66/91 and remain semantically too broad."
"12","C58","Internet access, speed, and reliability","EXPERIMENTAL_CANDIDATE","CONDITIONAL","NATIONAL_WITH_CITY_CAVEAT","National household/administrative indicators; composite proxy","true","91","91","91/91 measured; 91 fresh","World Bank (distribution) / ITU (upstream) — World Development Indicators","IT.NET.USER.ZS; IT.NET.BBND.P2","A4","L4","C4","M3","HIGHER_BETTER/S3","","SEM_QUESTION_TOO_BROAD;RED_EXISTING_CRITERION;RED_SHARED_COMPONENTS;LIC_NONCOMMERCIAL_ONLY","Experimental/redundancy probe only for a narrowed access-and-penetration criterion. Do not claim speed or reliability."
"13","C56","Electricity access and reliability","DEFERRED","NO_FURTHER_PHASE5E_WORK","NATIONAL_WITH_CITY_CAVEAT","National access estimate plus firm-survey outage data","true","0","0","0/91 measured; 0 fresh","World Bank / WHO-UNICEF tracking partners — World Development Indicators","EG.ELC.ACCS.ZS","A4","L4","C4","M3","HIGHER_BETTER/S2","COV_BELOW_90_PERCENT;SEM_QUESTION_TOO_BROAD","CMP_SURVEY_NOT_HARMONISED;FRS_MIXED_REFERENCE_PERIODS;RED_SHARED_COMPONENTS","Defer. Access measured 91/91 for 2024, but the WDI API returned no observations for IC.ELC.OUTG; access alone does not answer reliability."
"14","C08","School education quality","PROBE_APPROVED","DETERMINISTIC","NATIONAL_WITH_CITY_CAVEAT","National composite/modelled harmonisation of assessments and schooling","true","89","88","89/91 measured; 88 fresh","World Bank — Human Capital Index Plus","hlo_mf; lays_mf; hcip_schooling_component_mf in hci_plus_index_panel.dta","A4","L4","C4","M3","HIGHER_BETTER/S4","COV_NOT_FULL_91","CMP_MODEL_ASSUMPTIONS_OPAQUE;FRS_MIXED_REFERENCE_PERIODS","Proceed to deterministic Phase 5E probe; measured field coverage is 89/91 and the source is current, official and reusable."
"15","C66","Extreme-weather risk","EXPERIMENTAL_CANDIDATE","CONDITIONAL","NATIONAL_WITH_CITY_CAVEAT","National multi-source hazard/exposure composite","true","91","91","91/91 measured; 91 fresh","European Commission JRC / INFORM partners — INFORM Risk Index 2026","INFORM_Risk_2026_v072.xlsx: River Flood, Tropical Cyclone, Coastal flood, Drought","A4","L3","C4","M3","LOWER_BETTER/S2","","SCO_COMPOSITE_WEIGHTS_ARBITRARY;LIC_SOURCE_CHAIN_UNCLEAR;SEM_QUESTION_TOO_BROAD","Experimental Phase 5E probe only. Coverage is complete, but a Konsider-specific weather subset and weighting need defensibility testing."
