research_rank,criterion_id,source_item_number,name,category,classification_tags,natural_granularity,research_wave,preliminary_rationale
1,C11,11,Overall job-market opportunity,"Employment, income and economic opportunity",IC,NATIONAL_WITH_CITY_CAVEAT,BATCH_1,Core relocation question with strong national labour indicators; vacancy depth and occupational matching need care.
2,C32,32,Skilled-work visa accessibility,"Migration, visa and settlement","IC,SC,LF",NATIONAL,BATCH_1,"One of the most important relocation gates, but policy rules are volatile, conditional and difficult to encode comparably."
3,C33,33,Permanent-residency accessibility,"Migration, visa and settlement","IC,SC,LF",NATIONAL,BATCH_1,Core long-term settlement question; needs transparent scenario definitions and current official policy evidence.
4,C17,17,Average earning potential,"Employment, income and economic opportunity","IC,DO,CR",NATIONAL_WITH_CITY_CAVEAT,BATCH_1,"Core economic outcome, but national averages and gross wages can mislead without taxes, household type and city costs."
5,C21,21,Personal income-tax burden,"Tax, cost and financial conditions",IC,NATIONAL,BATCH_1,Core relocation input; effective burden by household and income scenario is preferable to headline rates.
6,C25,25,Housing affordability,"Tax, cost and financial conditions","IC,SC,CR,LF",CITY_OR_REGIONAL,BATCH_1,"Extremely decision-relevant, but meaningful data is usually city-level and rent/home-price definitions differ."
7,C50,50,Healthcare system capacity and quality,"Safety, health and public services","IC,DO",NATIONAL_WITH_CITY_CAVEAT,BATCH_1,"Core family decision area and natural successor to stale UHC; must separate capacity, outcomes, access and migrant eligibility."
8,C40,40,English usability,"Language, culture and integration","IC,CR",NATIONAL_WITH_CITY_CAVEAT,BATCH_1,High day-to-day and employment value; combine population proficiency carefully with actual service availability.
9,C01,1,Overall higher-education opportunity,Education and human capital,IC,NATIONAL,BATCH_1,"Directly relevant to students and families; likely measurable, but quality and access should be kept separate."
10,C30,30,Existing immigrant share,"Migration, visa and settlement",IC,NATIONAL,BATCH_1,Clear national structural measure and likely broad official coverage; interpretation should separate share from welcome or integration.
