rank,criterion_id,name,status,decision,granularity,coverage_band,coverage_measured,found,fresh,missing,stable_91_estimate,primary_publisher,primary_dataset,source_version,authority_grade,licence_grade,comparability_grade,mapping_grade,scoring_direction,scoring_grade,blocker_codes,recommendation
1,C38,Professional-licensing accessibility for immigrants,DEFERRED_PROFILE_LAYER,DEFER,PROFILE_ONLY,LOW,false,,,,Below 82 for the exact construct,World Health Organization,National Reporting Instrument reports database,Reports and consolidated evidence current through the latest NRI cycle,A4,L4,C2,M2,PROFILE_DERIVED,S1,GRA_PROFESSION_SPECIFIC;GRA_ORIGIN_SPECIFIC;PRF_PROFILE_ONLY;SRC_NO_AUTHORITATIVE_GLOBAL_SCORE;OPS_EXCESSIVE_MANUAL_MAINTENANCE,Defer to a later profile/legal pathway module. A Phase 3E national criterion probe would test the wrong unit of analysis.
2,C35,Post-study migration pathway,DEFERRED_PROFILE_LAYER,DEFER,PROFILE_ONLY,LOW,false,,,,Well below 82 for a maintained exact ruleset,OECD,International Migration Outlook 2025,2025,A4,L4,C3,M3,PROFILE_DERIVED,S1,COV_BELOW_90_PERCENT;GRA_ORIGIN_SPECIFIC;PRF_PROFILE_ONLY;OPS_EXCESSIVE_MANUAL_MAINTENANCE,Defer to the legal/profile layer; retain OECD and the EU portal as discovery and cross-check sources.
3,C36,Family reunification support,DEFERRED_PROFILE_LAYER,DEFER,PROFILE_ONLY,LOW,false,,,,Below 82 for exact current rules,European Commission,EU Immigration Portal,Country pages dated 2025; 25 EU countries,A4,L4,C3,M3,PROFILE_DERIVED,S1,COV_BELOW_90_PERCENT;GRA_HOUSEHOLD_SCENARIO_REQUIRED;GRA_ORIGIN_SPECIFIC;PRF_PROFILE_ONLY;OPS_EXCESSIVE_MANUAL_MAINTENANCE,Defer to a family/profile legal module. Do not create an independent national score.
4,C34,Citizenship accessibility,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL_WITH_PROFILE_CAVEAT,FULL,false,,,,At least 90% appears highly plausible,European University Institute / GLOBALCIT,GLOBALCIT Citizenship Law Dataset,v3.0; laws in force 2020-2024; 191 states,A4,L4,C4,M4,HIGHER_BETTER,S2,CMP_LEGAL_NOT_LIVED_OUTCOME;SCO_NORMATIVE_WEIGHTS_REQUIRED,"Run an experimental Phase 3E probe on the exact v3 archive, stable-91 mapping and a deliberately narrow naturalisation-rule subset."
5,C05,Research and innovation ecosystem,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL_WITH_CITY_CAVEAT,HIGH,false,,,,Approximately 82-88 of 91 appears plausible,World Intellectual Property Organization,Global Innovation Index 2025 database,2025; 139 economies,A4,L4,C3,M3,HIGHER_BETTER,S2,COV_EXACT_JOIN_REQUIRED;RED_SHARED_COMPONENTS;SCO_COMPOSITE_SENSITIVITY_REQUIRED,"Run a conditional Phase 3E probe to measure stable-91 coverage, capture the exact data licence and compare overall/output-only variants."
6,C15,Engineering and skilled technical jobs,DEFERRED_CITY_LAYER,DEFER,CITY_OR_REGIONAL_PROFILE,MEDIUM,false,,,,Below 82 for recent specialty-level data,International Labour Organization,ILOSTAT employment by occupation,Latest country survey observations; annual,A4,L4,C3,M3,HIGHER_BETTER,S1,COV_BELOW_90_PERCENT;GRA_CITY_LEVEL_REQUIRED;GRA_PROFESSION_SPECIFIC;CMP_STOCK_NOT_OPPORTUNITY,Defer. Use ILOSTAT only as contextual sector size in a later occupation/city module.
7,C13,Medical and healthcare jobs,DEFERRED_PROFILE_LAYER,DEFER,CITY_OR_REGIONAL_PROFILE,MEDIUM,false,,,,Below 82 for accessible jobs,World Health Organization,National Health Workforce Accounts / Global Health Workforce statistics,Current WHO workforce releases,A4,L4,C3,M3,PROFILE_DERIVED,S1,GRA_PROFESSION_SPECIFIC;GRA_CITY_LEVEL_REQUIRED;PRF_PROFILE_ONLY;CMP_SHORTAGE_NOT_JOB_ACCESS,Defer to a regulated-profession profile module; retain WHO and ILOSTAT as contextual evidence.
8,C14,"Business, finance, and professional-services jobs",DEFERRED_CITY_LAYER,DEFER,CITY_OR_REGIONAL_PROFILE,MEDIUM,false,,,,Below 82 for recent exact construct,International Labour Organization,ILOSTAT employment tables,Latest annual national observations,A4,L4,C3,M3,HIGHER_BETTER,S1,COV_BELOW_90_PERCENT;GRA_CITY_LEVEL_REQUIRED;GRA_PROFESSION_SPECIFIC;CMP_STOCK_NOT_OPPORTUNITY,Defer to the occupation/city layer.
9,C16,Entrepreneurship and startup opportunity,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL_WITH_CITY_CAVEAT,MEDIUM,true,79,79,12,79/91 measured for at least one non-null 2022-2024 observation,World Bank,Entrepreneurship Database / World Development Indicators,8th edition; annual 2006-2024,A4,L4,C4,M3,HIGHER_BETTER,S3,COV_BELOW_90_PERCENT;CMP_PARTIAL_GEOGRAPHY;SCO_OUTLIER_POLICY_REQUIRED,Run only a conditional Phase 3E recovery probe. The measured 79/91 result misses the 82-country threshold before partial-geography exclusions.
10,C19,Employment protection and worker rights,REJECTED,REJECT,NATIONAL,HIGH,false,,,,Broad nominal coverage is plausible,International Labour Organization,ILOSTAT SDG indicator 8.8.2,Methodology amended 2022; current ILO textual sources,A4,L4,C1,M3,LOWER_BETTER,S0,CMP_SOURCE_PROHIBITS_COUNTRY_COMPARISON;CMP_DEFINITION_TOO_NARROW;SCO_INDEFENSIBLE,Reject as an independent scored criterion. Retain only as descriptive research evidence if the product later adds unranked labour-rights profiles.
11,C22,Social-security and mandatory contribution burden,DEFERRED_PROFILE_LAYER,DEFER,PROFILE_ONLY,LOW,false,,,,Far below 82,OECD,Taxing Wages 2026,2025 tax year; 38 countries,A4,L4,C4,M3,PROFILE_DERIVED,S2,COV_BELOW_90_PERCENT;GRA_HOUSEHOLD_SCENARIO_REQUIRED;PRF_PROFILE_ONLY;SCO_DIRECTION_AMBIGUOUS,Defer to a future tax-benefit calculator; reject as a universal national criterion.
12,C26,Healthcare affordability,EXPERIMENTAL_CANDIDATE,EXPERIMENTAL_ONLY,NATIONAL_WITH_PROFILE_CAVEAT,FULL,false,,,,91/91 appears plausible,World Health Organization,Global Health Expenditure Database,GHED all data March 2026; series commonly through 2023/2024,A4,L4,C4,M3,LOWER_BETTER,S3,COV_EXACT_JOIN_REQUIRED;CMP_PROXY_ONLY;GRA_MIGRANT_ELIGIBILITY_MISSING,Run a conditional Phase 3E probe for stable-91 recency and licensing capture; keep the criterion explicitly labelled financial-protection proxy.
13,C29,Currency and macroeconomic stability,PROBE_APPROVED,PROCEED_DETERMINISTIC_PROBE,NATIONAL,FULL,true,91,91,0,91/91 measured component intersection,World Bank distribution / IMF IFS upstream,World Development Indicators,Annual through 2024,A4,L4,C4,M4,LOWER_BETTER,S3,CMP_CURRENCY_REGIME;SCO_COMPOSITE_SENSITIVITY_REQUIRED,Proceed to a deterministic Phase 3E probe using pinned 2020-2024 observations and explicit currency-break handling.
14,C48,Political stability and civil peace,PROBE_APPROVED,PROCEED_DETERMINISTIC_PROBE,NATIONAL,FULL,true,91,91,0,91/91 measured for 2024,World Bank,Worldwide Governance Indicators 2025 revision,2025 revision; 1996-2024 recalculated,A4,L4,C4,M4,HIGHER_BETTER,S4,CMP_PERCEPTION_BASED;SCO_UNCERTAINTY_REQUIRED,Proceed to a deterministic Phase 3E probe on the 2025-revision aggregate and its uncertainty fields.
15,C49,Rule of law and institutional trust,PROBE_APPROVED,PROCEED_DETERMINISTIC_PROBE,NATIONAL,FULL,true,91,91,0,91/91 measured for 2024,World Bank,Worldwide Governance Indicators 2025 revision,2025 revision; 2024 observations,A4,L4,C4,M4,HIGHER_BETTER,S4,CMP_PERCEPTION_BASED;SCO_UNCERTAINTY_REQUIRED;RED_POTENTIAL_GOVERNANCE_OVERLAP,Proceed to a deterministic Phase 3E probe after narrowing the label to Rule of Law and checking overlap with the active catalog.
