"criterion_id","source_item_number","name","category","measures","classification_tags","phase5a_granularity","natural_granularity","likely_authoritative_publisher_families","likely_dataset_or_indicator_families","evidence_refs","cross_country_comparability_estimate","coverage_90_percent_plausible_estimate","expected_coverage_band_estimate","likely_freshness","licensing_uncertainty","finding_status","deep_research_priority","deep_research_rank","recommended_batch","downgrade_rationale","reason_codes","fact_estimate_boundary"
"C01","1","Overall higher-education opportunity","Education and human capital","National breadth, participation, completion and credible quality signals in tertiary education.","IC","NATIONAL","national","UNESCO UIS | World Bank | national education ministries | OECD as a supplement","UIS tertiary enrolment/graduation/ISCED indicators | World Bank EdStats | OECD Education at a Glance","E01","C3","YES","HIGH","STANDARD_SOCIOECONOMIC: annual/0–3y likely","MEDIUM","SCREENED_PROMISING","HIGH","9","BATCH_1","Quality is not captured by availability alone; rankings are commercially licensed and institution-weighted.","SEM_QUESTION_TOO_BROAD | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C02","2","Technology and engineering education","Education and human capital","Strength and availability of tertiary programmes and graduates in engineering, ICT and related fields.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","city/regional","UNESCO UIS | national education/accreditation bodies | OECD | commercial ranking publishers","UIS graduates/enrolment by ISCED field | national programme registers | subject rankings for discovery","E01","C3","UNCERTAIN","MEDIUM","STANDARD_SOCIOECONOMIC: 0–3y likely","HIGH","SCREENED_POSSIBLE","LOW",,,"Global field-of-study counts are plausible, but comparable programme quality and institution location are not.","COV_BELOW_90_PERCENT | GRA_CITY_LEVEL_REQUIRED | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C03","3","Medical and health-sciences education","Education and human capital","Availability and quality of medicine, dentistry, nursing, pharmacy and allied-health education.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","city/regional","UNESCO UIS | WHO | World Directory of Medical Schools | national accreditors","UIS health-field graduates | WDOMS | national accredited programme registers","E01 | E04","C2","NO","MEDIUM","STANDARD_SOCIOECONOMIC: mixed 0–5y","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"Programme quality, recognition and seat access vary by profession and institution; WDOMS is not a quality ranking.","COV_BELOW_90_PERCENT | CMP_DEFINITION_DIFFERS | GRA_PROFESSION_SPECIFIC","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C04","4","Business, commerce, and management education","Education and human capital","Availability and quality of business, finance, economics, accounting and management education.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","city/regional","UNESCO UIS | national accreditors | OECD | commercial ranking/accreditation bodies","UIS business-field graduates | official programme registers | AACSB/EQUIS and subject rankings for discovery","E01","C2","NO","MEDIUM","STANDARD_SOCIOECONOMIC: mixed 0–5y","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"Accreditation and rankings cover a selective institution set and carry licensing and selection bias.","COV_BELOW_90_PERCENT | LIC_AMBIGUOUS | GRA_CITY_LEVEL_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C05","5","Research and innovation ecosystem","Education and human capital","National research intensity, outputs, patents, doctoral capacity and university–industry links.","IC","NATIONAL","national","UNESCO UIS | WIPO | World Bank | OECD","UIS R&D expenditure/researchers | WIPO IP Statistics | doctoral graduates | Global Innovation Index components","E01","C3","YES","HIGH","STANDARD_SOCIOECONOMIC: 0–3y with lag","MEDIUM","SCREENED_PROMISING","MEDIUM","20","BATCH_2","A composite must avoid mixing inputs and outputs or importing opaque GII weights.","SCO_COMPOSITE_WEIGHTS_ARBITRARY | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C06","6","International-student accessibility","Education and human capital","Practical accessibility for international students: enrolment openness, English-taught options, visas and support.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","national","UNESCO UIS | OECD | national immigration and education authorities","UIS inbound student mobility | OECD international students | official student-visa and post-study rules","E01","C2","NO","MEDIUM","CURRENT_POLICY plus annual mobility data","HIGH","SCREENED_POSSIBLE","MEDIUM","39",,"Mobility stock is comparable; admissions, English-taught programmes and visa rules need manual current-policy coding.","COV_BELOW_90_PERCENT | CMP_DEFINITION_DIFFERS | OPS_EXCESSIVE_MANUAL_MAINTENANCE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C07","7","Tuition affordability","Education and human capital","Tuition cost faced by representative domestic/international students relative to income or PPP.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","city/regional","UNESCO UIS | OECD | national ministries and institution fee schedules","UIS education finance | OECD tertiary fees | official fee schedules | ICP PPP denominators","E01 | E09","C2","NO","MEDIUM","FAST_MOVING: latest 0–2y","HIGH","SCREENED_POSSIBLE","MEDIUM","40",,"Fees vary by institution, programme, residency and scholarship; global harmonised international-student prices are unlikely.","GRA_HOUSEHOLD_SCENARIO_REQUIRED | CMP_POPULATION_DIFFERS | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C08","8","School education quality","Education and human capital","Primary/secondary learning outcomes, completion and system quality.","IC","NATIONAL_WITH_CITY_CAVEAT","national","UNESCO UIS | World Bank | OECD | IEA","UIS SDG4 completion/proficiency | World Bank Learning Poverty/HCI | PISA | TIMSS/PIRLS","E01","C3","UNCERTAIN","MEDIUM","STANDARD_SOCIOECONOMIC: 0–3y, assessments periodic","MEDIUM","SCREENED_POSSIBLE","HIGH","14","BATCH_1","Administrative completion is broad, but common learning assessments miss many stable-universe countries and cycles.","COV_BELOW_90_PERCENT | FRS_MIXED_REFERENCE_PERIODS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C09","9","International-school availability","Education and human capital","Availability and affordability of recognised international schools in likely destinations.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","IB | Cambridge International | national school registries | international-school directories","IB World Schools | Cambridge school finder | official school lists | fee schedules","","C2","NO","LOW","FAST_MOVING: annual/current directories","HIGH","DEFERRED_CITY_LAYER","LOW",,,"A city-level institution inventory and commercial-directory licensing would be required.","GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C10","10","Recognition and portability of qualifications","Education and human capital","Ease of academic/professional recognition and portability of foreign qualifications.","IC | SC | LF","NATIONAL_WITH_CITY_CAVEAT","profile-derived","UNESCO | ENIC-NARIC networks | national recognition and professional bodies","Global/Regional Recognition Conventions | WHED | ENIC-NARIC country procedures | regulated-profession rules","","C2","NO","MEDIUM","STATIC_OR_LEGAL_ASOF: current","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"Outcome depends on origin, destination, qualification and profession; no single country score is defensible.","GRA_ORIGIN_SPECIFIC | GRA_PROFESSION_SPECIFIC | SCO_NO_CLEAR_DIRECTION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
